Date,Open,High,Low,Close,Volume,Ticker,Daily_Return,HL_Spread,OC_Spread,Log_Return
2019-01-01,100.0,101.48,100.43,100.78,8185115,DEMO,,1.0499999999999972,0.7800000000000011,
2019-01-02,100.78,101.06,100.52,100.6,3585181,DEMO,-0.0017860686644176615,0.5400000000000063,-0.18000000000000682,-0.0017876655868133194
2019-01-03,100.6,101.63,101.2,101.6,8981512,DEMO,0.00994035785288272,0.4299999999999926,1.0,0.0098912774787427
2019-01-04,101.6,104.29,103.8,103.96,3269798,DEMO,0.023228346456692917,0.4900000000000091,2.3599999999999994,0.022962674628907997
2019-01-07,103.96,103.98,102.64,103.62,5181726,DEMO,-0.0032704886494804297,1.3400000000000034,-0.3399999999999892,-0.003275848386647136
2019-01-08,103.62,103.49,103.18,103.29,4439289,DEMO,-0.0031847133757961776,0.30999999999998806,-0.3299999999999983,-0.0031897953681001494
2019-01-09,103.29,106.24,105.77,105.77,7641620,DEMO,0.0240100687385032,0.46999999999999886,2.4799999999999898,0.02372635932141938
2019-01-10,105.77,107.36,106.58,107.02,8685815,DEMO,0.011818095868393774,0.7800000000000011,1.25,0.011748807543197147
2019-01-11,107.02,106.85,105.94,106.29,9521267,DEMO,-0.006821154924313122,0.9099999999999966,-0.7299999999999898,-0.006844525337668154
2019-01-14,106.29,107.48,106.69,107.19,3598475,DEMO,0.008467400508043843,0.7900000000000063,0.8999999999999915,0.008431753157937613
2019-01-15,107.19,107.18,105.62,106.48,1639872,DEMO,-0.0066237522156916695,1.5600000000000023,-0.7099999999999937,-0.006645786616571833
2019-01-16,106.48,105.87,105.36,105.77,4855798,DEMO,-0.006667918858001554,0.5100000000000051,-0.710000000000008,-0.006690248746894737
2019-01-17,105.77,107.28,105.77,106.18,5941412,DEMO,0.0038763354448332343,1.5100000000000051,0.4100000000000108,0.003868841815564025
2019-01-18,106.18,103.52,102.68,103.17,3959470,DEMO,-0.028348088152194473,0.8399999999999892,-3.010000000000005,-0.028757654043240984
2019-01-21,103.17,101.4,100.11,100.53,1936320,DEMO,-0.025588833963361424,1.2900000000000063,-2.6400000000000006,-0.025921922694955787
2019-01-22,100.53,99.81,99.61,99.71,6010168,DEMO,-0.008156769123644714,0.20000000000000284,-0.8200000000000074,-0.008190217576627199
2019-01-23,99.71,98.55,98.1,98.23,6422569,DEMO,-0.014843044830006868,0.45000000000000284,-1.4799999999999898,-0.014954305153923177
2019-01-24,98.23,98.96,97.73,98.72,2647824,DEMO,0.0049882927822457734,1.2299999999999898,0.4899999999999949,0.004975892470299484
